No,Method,Motivation,Relationship
1,0,0,0
2,0,0,0
3,0,0,0
4,0,0,0
5,0,0,0
6,0,0,0
7,0,0,0
8,0,0,0
9,0,0,0
10,0,0,0
11,0,0,0
12,0,0,0
13,0,0,0
14,0,0,0
15,1,0,0
16,1,0,0
17,1,0,0
18,1,0,0
19,0,0,1
20,0,0,1
21,0,0,1
22,0,0,1
23,0,0,1
24,0,0,1
25,0,0,1
26,0,0,1
27,1,0,1
28,1,0,1
29,1,0,1
30,0,1,0
31,0,1,0
32,0,1,0
33,0,1,0
34,0,1,0
35,0,1,0
36,0,1,0
37,0,1,0
38,0,1,0
39,0,1,0
40,0,1,0
41,0,1,0
42,0,1,0
43,0,1,0
44,0,1,0
45,0,1,0
46,0,1,0
47,0,1,0
48,0,1,0
49,1,1,0
50,1,1,0
51,1,1,0
52,1,1,0
53,1,1,0
54,1,1,0
55,1,1,0
56,1,1,0
57,1,1,0
58,1,1,0
59,0,1,1
60,0,1,1
61,0,1,1
62,0,1,1
63,0,1,1
64,0,1,1
65,0,1,1
66,0,1,1
67,0,1,1
68,0,1,1
69,0,1,1
70,0,1,1
71,0,1,1
72,0,1,1
73,0,1,1
74,0,1,1
75,0,1,1
76,0,1,1
77,0,1,1
78,0,1,1
79,1,1,1
80,1,1,1
81,1,1,1
82,1,1,1
83,1,1,1
84,1,1,1
85,1,1,1
86,1,1,1
87,1,1,1
88,1,1,1
89,1,1,1
90,1,1,1
91,1,1,1
92,1,1,1
93,1,1,1
94,1,1,1
95,1,1,1
96,1,1,1
97,1,1,1
98,1,1,1
99,1,1,1
100,1,1,1
101,1,1,1
102,1,1,1
103,1,1,1
104,1,1,1
105,1,1,1
106,1,1,1
107,1,1,1
108,1,1,1
109,1,1,1
110,1,1,1
